data_point_number,date,time_unbagged,time_of_visit,plant_species,visitor_group,visitor_extra_information,length_of_visit,conspecific_pollen_deposited_(before_control_values_removed),conspecific_pollen_deposited,Pollen_or_nectar_collected,Legitimate_oR_Robbing_visit,observer
469,10/07/13,17:25,18:36,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,18,18,P,L,2
470,10/07/13,17:11,19:01,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,1,35,35,P,L,2
471,10/07/13,17:11,19:42,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,23,7,7,P,L,2
472,10/07/13,17:17,20:03,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,3,3,P,L,2
473,10/07/13,17:17,20:14,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,3,3,P,L,2
474,10/07/13,17:17,20:14,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,14,14,P,L,2
475,10/07/13,17:25,18:54,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,2,62,62,PN,L,3
476,10/07/13,17:25,18:55,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,2,2,P,R,3
477,10/07/13,17:25,18:55,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,1,1,P,R,3
478,14/07/13,08:55,09:38,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,6,6,P,R,1
479,14/07/13,08:55,10:44,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,13,147,147,P,L,1
480,14/07/13,08:55,10:44,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,7,27,27,P,L,1
481,14/07/13,17:30,18:20,Erica_tetralix,Bombus_jonellus,Bombus_jonellus,14,52,52,P,L,1
482,14/07/13,17:30,18:20,Erica_tetralix,Bombus_jonellus,Bombus_jonellus,7,59,59,P,L,1
483,14/07/13,17:30,18:22,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,58,58,P,L,1
484,14/07/13,17:30,18:22,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,80,80,P,L,1
485,14/07/13,17:30,18:27,Erica_tetralix,Bombus_jonellus,Bombus_jonellus,12,17,17,PN,R,1
486,14/07/13,17:30,19:40,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,15,15,P,L,1
487,15/07/13,17:30,17:55,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,15,229,229,P,L,1
488,15/07/13,17:30,17:58,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,153,153,P,L,1
489,15/07/13,17:30,18:48,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,37,37,P,L,1
490,15/07/13,17:30,19:30,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,202,202,P,L,1
491,15/07/13,17:30,19:35,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,16,0,0,N,L,1
492,15/07/13,17:30,19:35,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,3,3,N,L,1
493,15/07/13,17:30,19:45,Erica_cinerea,Apis_mellifera,Apis_mellifera,8,20,20,P,L,1
494,15/07/13,17:30,19:55,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,20,60,60,N,L,1
495,15/07/13,17:30,19:55,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,10,37,37,N,L,1
496,15/07/13,17:30,20:31,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,4,4,N,R,1
497,16/07/13,17:30,18:20,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,11,4,4,N,L,1
498,16/07/13,17:30,19:25,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,120,120,P,L,1
499,16/07/13,17:30,19:40,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,57,57,P,L,1
500,16/07/13,17:30,19:40,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,10,18,18,N,L,1
501,16/07/13,17:30,19:40,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,2,2,N,L,1
502,16/07/13,17:30,19:40,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,6,2,2,N,L,1
